iteration,dual,timestep,line,value
1,lambda,1,,0.0
1,lambda,2,,0.0
2,lambda,1,,-24.53378055870387
2,lambda,2,,-27.923076923080252
3,lambda,1,,-38.935919395465646
3,lambda,2,,-54.76546513227146
4,lambda,1,,-33.371836609275896
4,lambda,2,,-64.81454039671644
5,lambda,1,,-25.057889366416546
5,lambda,2,,-64.51047358550909
6,lambda,1,,-18.134079517531177
6,lambda,2,,-56.31262059556777
7,lambda,1,,-14.804867018113853
7,lambda,2,,-43.93443661971512
8,lambda,1,,-15.088872818156911
8,lambda,2,,-31.197117421253008
9,lambda,1,,-17.597848359011753
9,lambda,2,,-22.54810114669499
10,lambda,1,,-18.956215930963552
10,lambda,2,,-18.978375991228482
11,lambda,1,,-19.971998171809737
11,lambda,2,,-19.560431121423164
12,lambda,1,,-20.929809697359676
12,lambda,2,,-22.489754494940136
13,lambda,1,,-21.809678980395077
13,lambda,2,,-26.016705907793618
14,lambda,1,,-22.73292291917729
14,lambda,2,,-28.942933078578857
15,lambda,1,,-23.61784354315381
15,lambda,2,,-30.743710437084324
16,lambda,1,,-24.514624689588253
16,lambda,2,,-31.436850043219327
17,lambda,1,,-25.38751190393771
17,lambda,2,,-31.347053503181698
18,lambda,1,,-26.258164546635836
18,lambda,2,,-30.88030831097212
19,lambda,1,,-27.11106445266205
19,lambda,2,,-30.370860802678948
20,lambda,1,,-27.95566755763692
20,lambda,2,,-30.014865281755505
21,lambda,1,,-28.785356888380896
21,lambda,2,,-29.8731080059122
22,lambda,1,,-29.60438649206632
22,lambda,2,,-29.912338144932146
23,lambda,1,,-30.31235503038923
23,lambda,2,,-30.056420917428618
24,lambda,1,,-30.78234201329884
24,lambda,2,,-30.227999642469335
25,lambda,1,,-30.97078002880662
25,lambda,2,,-30.372462180174185
26,lambda,1,,-30.90802802282633
26,lambda,2,,-30.464763692831767
27,lambda,1,,-30.67125318253434
27,lambda,2,,-30.50448456315686
28,lambda,1,,-30.35667052057541
28,lambda,2,,-30.505662909341257
29,lambda,1,,-30.05282699349084
29,lambda,2,,-30.48666952424748
30,lambda,1,,-29.823603208039387
30,lambda,2,,-30.463111549168325
31,lambda,1,,-29.70012332539039
31,lambda,2,,-30.444568771327834
32,lambda,1,,-29.68247691947799
32,lambda,2,,-30.434485683160737
33,lambda,1,,-29.74744008604247
33,lambda,2,,-30.43189922537637
34,lambda,1,,-29.859606210691663
34,lambda,2,,-30.43370623515107
35,lambda,1,,-29.982189330790412
35,lambda,2,,-30.436571751292778
36,lambda,1,,-30.08549775481667
36,lambda,2,,-30.438071531896767
37,lambda,1,,-30.151616948065502
37,lambda,2,,-30.437062945592245
38,lambda,1,,-30.17536765900196
38,lambda,2,,-30.43350859311692
39,lambda,1,,-30.16218887131961
39,lambda,2,,-30.428041921280695
40,lambda,1,,-30.12425161224061
40,lambda,2,,-30.42151561426754
41,lambda,1,,-30.076067259627113
41,lambda,2,,-30.414674790376335
42,lambda,1,,-30.030709952688284
42,lambda,2,,-30.407998817918685
43,lambda,1,,-29.99730834251914
43,lambda,2,,-30.401686689811964
44,lambda,1,,-29.980046641485558
44,lambda,2,,-30.395729096340236
45,lambda,1,,-29.978502207239877
45,lambda,2,,-30.390009055334204
46,lambda,1,,-29.988911033794217
46,lambda,2,,-30.38438944127443
47,lambda,1,,-30.005843531277286
47,lambda,2,,-30.378767479964374
48,lambda,1,,-30.023820752531563
48,lambda,2,,-30.37309456081809
49,lambda,1,,-30.038529653375694
49,lambda,2,,-30.36737063523513
50,lambda,1,,-30.04747367077321
50,lambda,2,,-30.361625957785993
51,lambda,1,,-30.050058654065932
51,lambda,2,,-30.3559011492239
52,lambda,1,,-30.047239425314718
52,lambda,2,,-30.350232307866072
53,lambda,1,,-30.04091600015415
53,lambda,2,,-30.344643488234244
54,lambda,1,,-30.033275954479628
54,lambda,2,,-30.33914567312417
55,lambda,1,,-30.02624088555038
55,lambda,2,,-30.333739807739875
56,lambda,1,,-30.02111212229384
56,lambda,2,,-30.32842129837588
57,lambda,1,,-30.018442738691384
57,lambda,2,,-30.323184053893733
58,lambda,1,,-30.01810643637685
58,lambda,2,,-30.31802310287954
59,lambda,1,,-30.019498070710885
59,lambda,2,,-30.312935650764796
60,lambda,1,,-30.02178831557082
60,lambda,2,,-30.30792095605936
61,lambda,1,,-30.024162767502773
61,lambda,2,,-30.302979587004387
62,lambda,1,,-30.025996952474742
62,lambda,2,,-30.298112558498662
63,lambda,1,,-30.02694510915107
63,lambda,2,,-30.293320666931987
64,lambda,1,,-30.02694519063505
64,lambda,2,,-30.28860414330806
65,lambda,1,,-30.026160297107232
65,lambda,2,,-30.283962597446834
66,lambda,1,,-30.024885571313135
66,lambda,2,,-30.279395150329943
67,lambda,1,,-30.023449785135636
67,lambda,2,,-30.27490063920263
68,lambda,1,,-30.02213457733969
68,lambda,2,,-30.270477807279246
69,lambda,1,,-30.021124585334274
69,lambda,2,,-30.26612543164356
70,lambda,1,,-30.020491561909186
70,lambda,2,,-30.261842380590043
71,lambda,1,,-30.020207319477038
71,lambda,2,,-30.257627615798402
72,lambda,1,,-30.020175325986862
72,lambda,2,,-30.25348016403285
73,lambda,1,,-30.02026927053504
73,lambda,2,,-30.24939908112957
74,lambda,1,,-30.020368357373137
74,lambda,2,,-30.24538342326556
75,lambda,1,,-30.020382411075527
75,lambda,2,,-30.24143223168916
76,lambda,1,,-30.020263872230714
76,lambda,2,,-30.237544530286335
77,lambda,1,,-30.020007384006128
77,lambda,2,,-30.233719331693898
78,lambda,1,,-30.01964021841637
78,lambda,2,,-30.229955646875784
79,lambda,1,,-30.01920797277885
79,lambda,2,,-30.226252494157723
80,lambda,1,,-30.018759881735505
80,lambda,2,,-30.222608905519873
81,lambda,1,,-30.018337067502678
81,lambda,2,,-30.219023929650497
82,lambda,1,,-30.01796555944289
82,lambda,2,,-30.215496632385225
83,lambda,1,,-30.017654404860938
83,lambda,2,,-30.21202609562913
84,lambda,1,,-30.0173979884385
84,lambda,2,,-30.208611415788358
85,lambda,1,,-30.017180982028236
85,lambda,2,,-30.205251702436374
86,lambda,1,,-30.016984167807074
86,lambda,2,,-30.201946077526056
87,lambda,1,,-30.01678963459869
87,lambda,2,,-30.198693675151585
88,lambda,1,,-30.016584365536076
88,lambda,2,,-30.195493641685903
89,lambda,1,,-30.01636183864504
89,lambda,2,,-30.192345136074163
90,lambda,1,,-30.016121794329905
90,lambda,2,,-30.18924733010357
91,lambda,1,,-30.01586868713565
91,lambda,2,,-30.1861994085471
92,lambda,1,,-30.01560949642525
92,lambda,2,,-30.183200569156043
93,lambda,1,,-30.015351539777914
93,lambda,2,,-30.180250022527797
94,lambda,1,,-30.015100768591477
94,lambda,2,,-30.177346991856563
95,lambda,1,,-30.014860797268458
95,lambda,2,,-30.174490712814475
96,lambda,1,,-30.014632692854928
96,lambda,2,,-30.171680433220708
97,lambda,1,,-30.014415377592524
97,lambda,2,,-30.168915412846594
98,lambda,1,,-30.014206400043488
98,lambda,2,,-30.16619492323473
99,lambda,1,,-30.014002812304394
99,lambda,2,,-30.16351824753789
100,lambda,1,,-30.013801932539884
100,lambda,2,,-30.1608846803635
101,lambda,1,,-30.013601856192825
101,lambda,2,,-30.15829352761862
102,lambda,1,,-30.013401665543633
