iteration,generator,timestep,generation
1,pv,1,36.25469304166821
1,pv,2,79.99999999999991
2,pv,1,52.11311013095026
2,pv,2,79.99999999999997
3,pv,1,75.59816440992641
3,pv,2,79.99999999999596
4,pv,1,79.99999999999942
4,pv,2,79.99999999999993
5,pv,1,79.99999999999119
5,pv,2,79.99999999999949
6,pv,1,79.99999999985549
6,pv,2,79.99999999999102
7,pv,1,79.99999999997668
7,pv,2,79.99999999999874
8,pv,1,79.99999999991411
8,pv,2,79.99999999999999
9,pv,1,79.99999999904621
9,pv,2,79.99999999999997
10,pv,1,78.96366095333991
10,pv,2,79.99999999999945
11,pv,1,78.27322095930688
11,pv,2,79.99999999999557
12,pv,1,77.9750859947699
12,pv,2,79.99999999999993
13,pv,1,77.559121188804
13,pv,2,79.99999999999523
14,pv,1,77.36335511229382
14,pv,2,79.99999999999845
15,pv,1,77.13926459128594
15,pv,2,79.99999999999957
16,pv,1,77.02502473745851
16,pv,2,79.99999999999977
17,pv,1,76.90944984396201
17,pv,2,79.99999999999986
18,pv,1,76.84992456208082
18,pv,2,79.99999999999989
19,pv,1,76.79623280678942
19,pv,2,79.99999999999991
20,pv,1,76.77170973142825
20,pv,2,79.99999999999993
21,pv,1,76.75335983742801
21,pv,2,79.99999999999993
22,pv,1,76.75035775870651
22,pv,2,79.99999999999994
23,pv,1,76.73563653320768
23,pv,2,79.99999999994687
24,pv,1,76.70729190140187
24,pv,2,79.99999999994613
25,pv,1,76.66476484949376
25,pv,2,79.99999999999994
26,pv,1,76.61392530227815
26,pv,2,79.99999999999993
27,pv,1,76.56009995335752
27,pv,2,79.99999999999991
28,pv,1,76.50951690229884
28,pv,2,79.9999999999999
29,pv,1,76.4658503058619
29,pv,2,79.99999999999989
30,pv,1,76.43116457241835
30,pv,2,79.99999999999989
31,pv,1,76.40501056425452
31,pv,2,79.99999999999983
32,pv,1,76.38564937342781
32,pv,2,79.99999999999983
33,pv,1,76.37036141186675
33,pv,2,79.99999999999983
34,pv,1,76.35650468010644
34,pv,2,79.99999999999979
35,pv,1,76.34188648684038
35,pv,2,79.99999999999979
36,pv,1,76.32522105869788
36,pv,2,79.99999999999979
37,pv,1,76.30609114977311
37,pv,2,79.99999999999979
38,pv,1,76.28485612277085
38,pv,2,79.9999999999998
39,pv,1,76.26233172209233
39,pv,2,79.99999999999979
40,pv,1,76.23950939958424
40,pv,2,79.99999999999979
41,pv,1,76.21727206435743
41,pv,2,79.99999999999984
42,pv,1,76.19623273897966
42,pv,2,79.99999999999984
43,pv,1,76.1766572732028
43,pv,2,79.99999999999984
44,pv,1,76.15849528942888
44,pv,2,79.99999999999984
45,pv,1,76.14146548697768
