iteration,storage,timestep,charge,discharge
1,battery,1,9.999999999999998,2.9986742387456114e-14
1,battery,2,6.756893214764755e-15,9.999999999999963
2,battery,1,9.999999998197282,1.2704287736043773e-10
2,battery,2,5.720849082962996e-10,9.99999999864148
3,battery,1,9.999999999916856,7.038343303808973e-11
3,battery,2,7.47357049603465e-11,9.999999999918396
4,battery,1,9.999999999929821,9.241983387112363e-11
4,battery,2,8.336491347023956e-11,9.99999999991537
5,battery,1,9.999999999998687,2.0924742142130594e-12
5,battery,2,1.6323685003039038e-12,9.999999999998204
6,battery,1,9.999999999999194,7.745041852586301e-13
6,battery,2,1.0695252768252264e-12,9.999999999998868
7,battery,1,9.999999999999163,8.134552924918974e-13
7,battery,2,1.1013354138979946e-12,9.999999999998817
8,battery,1,9.999999999969422,4.365021166003843e-11
8,battery,2,3.601515439588443e-11,9.999999999956353
9,battery,1,9.999999999986684,3.0285239612950816e-11
9,battery,2,1.997546611012904e-11,9.999999999975673
10,battery,1,9.99999999998769,2.022485036866701e-11
10,battery,2,1.511075720911912e-11,9.999999999981728
11,battery,1,9.999999999999424,5.699132360894177e-13
11,battery,2,7.92013411681739e-13,9.999999999999115
12,battery,1,9.999999999999957,3.9950426789211344e-14
12,battery,2,5.86607730772616e-14,9.999999999999936
13,battery,1,9.999999999999892,1.2848249960477902e-13
13,battery,2,1.406832136964493e-13,9.99999999999984
14,battery,1,9.999999999999911,1.1750592078356562e-13
14,battery,2,1.105122164385524e-13,9.999999999999872
15,battery,1,9.999999999999963,5.471421035249159e-14
15,battery,2,4.53830819973475e-14,9.999999999999947
16,battery,1,9.999999999978215,2.798983039023723e-11
16,battery,2,2.44837971585381e-11,9.999999999971461
17,battery,1,9.999999999983636,2.1145689310916473e-11
17,battery,2,1.826334859829709e-11,9.999999999978685
18,battery,1,9.999999999984343,2.0246799493344038e-11
18,battery,2,1.737131239899103e-11,9.999999999979682
19,battery,1,9.999999999986008,1.8173775291969232e-11
19,battery,2,1.5434093102949732e-11,9.99999999998189
20,battery,1,9.999999999986379,1.7708437274836528e-11
20,battery,2,1.4954051093072737e-11,9.999999999982409
21,battery,1,9.999999999987379,1.6430583189013092e-11
21,battery,2,1.379837888948347e-11,9.999999999983736
22,battery,1,9.999999999988045,1.5554478724282886e-11
22,battery,2,1.3027227081203637e-11,9.99999999998463
23,battery,1,9.999999999989065,1.4225447771177617e-11
23,battery,2,1.1890228658880118e-11,9.99999999998597
24,battery,1,9.999999999989383,1.3787772288444799e-11
24,battery,2,1.1541917817321429e-11,9.999999999986398
25,battery,1,9.999999999989058,1.4166620137584126e-11
25,battery,2,1.1909830677643812e-11,9.999999999985993
26,battery,1,9.99999999998804,1.5416075216083073e-11
26,battery,2,1.3046799771767515e-11,9.999999999984695
27,battery,1,9.99999999998647,1.7350534287215728e-11
27,battery,2,1.480121887966456e-11,9.99999999998268
28,battery,1,9.999999999984475,1.980123193760459e-11
28,battery,2,1.703140437645662e-11,9.999999999980119
29,battery,1,9.999999999982334,2.2415722710965314e-11
29,battery,2,1.9430974922037922e-11,9.999999999977362
30,battery,1,9.999999999980306,2.4877870364356355e-11
30,battery,2,2.1698180190051566e-11,9.999999999974756
31,battery,1,9.999999999978622,2.6907206990960994e-11
31,battery,2,2.3575522775871657e-11,9.9999999999726
32,battery,1,9.999999999977348,2.8428731467745146e-11
32,battery,2,2.4987925869934367e-11,9.999999999970974
33,battery,1,9.99999999997643,2.9515608213971685e-11
33,battery,2,2.600144276554553e-11,9.999999999969809
34,battery,1,9.999999999975698,3.037083690302192e-11
34,battery,2,2.680188359079688e-11,9.999999999968889
35,battery,1,9.999999999974976,3.1211314250381326e-11
35,battery,2,2.7595196938060587e-11,9.99999999996798
36,battery,1,9.99999999997411,3.22267784270066e-11
