iteration,dual,timestep,line,value
1,lambda,1,,0.0
1,lambda,2,,0.0
2,lambda,1,,-11.012876589860028
2,lambda,2,,-18.33333333339297
3,lambda,1,,-52.055985765609094
3,lambda,2,,-61.75038527977125
4,lambda,1,,-9.490695690314098
4,lambda,2,,-53.94892750125189
5,lambda,1,,-40.57069459422383
5,lambda,2,,-41.36928444607179
6,lambda,1,,8.267462681439945
6,lambda,2,,-32.042674043104796
7,lambda,1,,-41.44881285698566
7,lambda,2,,-24.20625778879497
8,lambda,1,,13.385098992741483
8,lambda,2,,-27.181724173369105
9,lambda,1,,-49.33768153076678
9,lambda,2,,-25.869231842430338
10,lambda,1,,19.3775276678463
10,lambda,2,,-31.37935667305902
11,lambda,1,,-52.96426472403078
11,lambda,2,,-29.457010521368716
12,lambda,1,,24.02602415676632
12,lambda,2,,-33.26427174622489
13,lambda,1,,-52.20557282786735
13,lambda,2,,-29.825930220773557
14,lambda,1,,27.23458028844791
14,lambda,2,,-32.8356232878038
15,lambda,1,,-50.68190198448091
15,lambda,2,,-29.247308482456162
16,lambda,1,,28.51064266070309
16,lambda,2,,-32.45476880633498
17,lambda,1,,-49.68886511283582
17,lambda,2,,-29.13098781113348
18,lambda,1,,29.11785912295563
18,lambda,2,,-32.516398047467135
19,lambda,1,,-49.108378609595995
19,lambda,2,,-29.25207591697972
20,lambda,1,,29.447228646293503
20,lambda,2,,-32.61464046664213
21,lambda,1,,-48.774426248792516
21,lambda,2,,-29.29667598799699
22,lambda,1,,29.633867476992997
22,lambda,2,,-32.6114821853468
23,lambda,1,,-48.58268218591363
23,lambda,2,,-29.266151221984558
24,lambda,1,,29.740749169081475
24,lambda,2,,-32.572344051082666
25,lambda,1,,-48.47260158878456
25,lambda,2,,-29.228875685754304
26,lambda,1,,29.802087289808433
26,lambda,2,,-32.53957153110599
27,lambda,1,,-48.40940191450617
27,lambda,2,,-29.198861691018067
28,lambda,1,,29.83730161567302
28,lambda,2,,-32.50954756616551
29,lambda,1,,-48.37311696818531
29,lambda,2,,-29.166947896538034
30,lambda,1,,29.857519307403926
30,lambda,2,,-32.475213454910886
31,lambda,1,,-48.35228452269782
31,lambda,2,,-29.130629269407166
32,lambda,1,,29.869127006403637
32,lambda,2,,-32.437713513973904
33,lambda,1,,-48.340323879908375
33,lambda,2,,-29.09267705195589
34,lambda,1,,29.87579140057351
34,lambda,2,,-32.399781154363495
35,lambda,1,,-48.333456850828945
35,lambda,2,,-29.054992479151963
36,lambda,1,,29.879617666140582
36,lambda,2,,-32.36242524638851
37,lambda,1,,-48.32951424581645
37,lambda,2,,-29.017994963487354
38,lambda,1,,29.88181446100183
38,lambda,2,,-32.32582106328931
39,lambda,1,,-48.32725065640164
39,lambda,2,,-28.981840294963035
40,lambda,1,,29.883075718859352
40,lambda,2,,-32.2901854683322
41,lambda,1,,-48.32595104941861
41,lambda,2,,-28.946792254158765
42,lambda,1,,29.88379985170352
42,lambda,2,,-32.255781795057544
43,lambda,1,,-48.325204898961935
43,lambda,2,,-28.91307434547906
44,lambda,1,,29.884215602016674
44,lambda,2,,-32.22277710277456
45,lambda,1,,-48.324776507537926
45,lambda,2,,-28.880800064968412
46,lambda,1,,29.884454298973118
46,lambda,2,,-32.19124373245222
47,lambda,1,,-48.32453055285213
47,lambda,2,,-28.850013770658393
48,lambda,1,,29.884591343721958
48,lambda,2,,-32.16120751623191
49,lambda,1,,-48.32438934139011
49,lambda,2,,-28.820727798700148
50,lambda,1,,29.884670025903695
50,lambda,2,,-32.132669349455284
51,lambda,1,,-48.3243082668724
51,lambda,2,,-28.792932353097797
52,lambda,1,,29.88471520014682
52,lambda,2,,-32.169267368239446
53,lambda,1,,-48.32426171910124
53,lambda,2,,-25.47440559299247
54,lambda,1,,29.884741136229415
54,lambda,2,,-29.626151025789994
55,lambda,1,,-48.3242349943935
55,lambda,2,,-24.370522566598908
56,lambda,1,,29.884756027073585
56,lambda,2,,-29.548312430971492
57,lambda,1,,-48.32421965078803
57,lambda,2,,-25.45996471444809
58,lambda,1,,29.884764574086738
58,lambda,2,,-30.321777929497358
59,lambda,1,,-48.3242108425381
59,lambda,2,,-26.49343323178013
60,lambda,1,,29.884769481612373
60,lambda,2,,-30.65382551645132
61,lambda,1,,-48.32420578552368
61,lambda,2,,-27.018556666026768
62,lambda,1,,29.884772299282297
62,lambda,2,,-30.746622566473434
63,lambda,1,,-48.32420288213053
63,lambda,2,,-27.414685887536223
64,lambda,1,,29.884773916674497
64,lambda,2,,-30.917462298677663
65,lambda,1,,-48.324201215349724
65,lambda,2,,-27.833370804935782
66,lambda,1,,29.884774844713597
66,lambda,2,,-31.425527706753087
67,lambda,1,,-48.32420025869005
67,lambda,2,,-28.33155711453827
68,lambda,1,,29.884775376780446
68,lambda,2,,-31.83736589348831
69,lambda,1,,-48.32419970986215
69,lambda,2,,-28.641370945204926
70,lambda,1,,29.884775681072078
70,lambda,2,,-32.0617901617382
71,lambda,1,,-48.32419939541827
71,lambda,2,,-28.808504082942136
72,lambda,1,,29.884775853833652
72,lambda,2,,-32.19484185571355
73,lambda,1,,-48.32419921595005
73,lambda,2,,-28.920742128078473
74,lambda,1,,29.88477594766089
74,lambda,2,,-32.29107469760419
75,lambda,1,,-48.324199115634336
75,lambda,2,,-29.00137268928205
76,lambda,1,,29.88477601606221
76,lambda,2,,-32.35557147567994
77,lambda,1,,-48.324199052254194
77,lambda,2,,-29.05006493167798
78,lambda,1,,29.884776053513797
78,lambda,2,,-32.38995105998464
79,lambda,1,,-48.324199015188206
79,lambda,2,,-29.072309881918102
80,lambda,1,,29.88477607444714
80,lambda,2,,-32.40231486704022
81,lambda,1,,-48.32419899384623
81,lambda,2,,-29.07672164607044
82,lambda,1,,29.884776086358194
82,lambda,2,,-32.40025485603422
83,lambda,1,,-48.324198981594286
83,lambda,2,,-29.069284023899
84,lambda,1,,29.884776093169883
84,lambda,2,,-32.388277687186644
85,lambda,1,,-48.324198974567715
85,lambda,2,,-29.05346305074579
86,lambda,1,,29.884776097061767
86,lambda,2,,-32.36923201066264
87,lambda,1,,-48.32419897054425
87,lambda,2,,-29.031757645055507
88,lambda,1,,29.884776099274653
88,lambda,2,,-32.345376619817614
89,lambda,1,,-48.32419896824721
89,lambda,2,,-29.006200090933476
90,lambda,1,,29.88477610052046
90,lambda,2,,-32.318500374110215
91,lambda,1,,-48.32419896694339
91,lambda,2,,-28.978328230280283
92,lambda,1,,29.884776101208523
92,lambda,2,,-32.28990372621149
93,lambda,1,,-48.32419896620994
93,lambda,2,,-28.949234566342795
94,lambda,1,,29.884776101579767
94,lambda,2,,-32.26050580148831
95,lambda,1,,-48.32419896580473
95,lambda,2,,-28.919696193812
96,lambda,1,,29.88477610173802
96,lambda,2,,-32.23096617231681
97,lambda,1,,-48.32419896560162
97,lambda,2,,-28.89027304310696
98,lambda,1,,29.88477610177791
98,lambda,2,,-32.20175835539618
99,lambda,1,,-48.324198965516366
99,lambda,2,,-28.86136285198802
100,lambda,1,,29.884776102125464
100,lambda,2,,-32.17321369321877
101,lambda,1,,-48.32419896533077
101,lambda,2,,-28.833239236302575
102,lambda,1,,29.88477610227894
102,lambda,2,,-32.145556061331206
103,lambda,1,,-48.32419896520806
103,lambda,2,,-28.80608351055929
