iteration,generator,timestep,generation
1,pv,1,41.71204430047844
1,pv,2,79.99999999999997
2,pv,1,28.186604925963856
2,pv,2,75.56828780529808
3,pv,1,73.3726081115025
3,pv,2,79.99999999999551
4,pv,1,31.678217615512217
4,pv,2,79.99999999999962
5,pv,1,79.1528079680933
5,pv,2,79.99999999999999
6,pv,1,24.784206149089496
6,pv,2,79.99999999999956
7,pv,1,79.9999999999955
7,pv,2,79.99999999999457
8,pv,1,7.0692703163024095
8,pv,2,79.99999999999298
9,pv,1,79.99999999963293
9,pv,2,79.99999999999399
10,pv,1,6.370768610172652e-14
10,pv,2,79.99999999999997
11,pv,1,79.66784221391636
11,pv,2,79.99999999999945
12,pv,1,3.0769748686600774e-12
12,pv,2,79.99999999998754
13,pv,1,79.99999999999166
13,pv,2,79.99999999999547
14,pv,1,1.5999941248819477e-12
14,pv,2,79.99999999998234
15,pv,1,79.99999999987796
15,pv,2,79.99999999999332
16,pv,1,1.5773861767129588e-12
16,pv,2,79.99999999998336
17,pv,1,79.99999999833601
17,pv,2,79.9999999999906
18,pv,1,1.579233282634819e-12
18,pv,2,79.99999999998417
19,pv,1,79.99999999433399
19,pv,2,79.99999999998803
20,pv,1,1.5840714527359958e-12
20,pv,2,79.99999999998606
21,pv,1,79.99999998762922
21,pv,2,79.99999999998512
22,pv,1,1.6195038955819552e-12
22,pv,2,79.99999999998765
23,pv,1,79.99999999996818
23,pv,2,79.99999999999997
24,pv,1,1.6701733541747618e-15
24,pv,2,79.99999999999999
25,pv,1,79.9999999778631
25,pv,2,79.99999999997296
26,pv,1,1.7303806880505813e-15
26,pv,2,79.99999999999999
27,pv,1,79.99999999995848
27,pv,2,79.99999999999996
28,pv,1,2.0821346902964174e-15
28,pv,2,79.99999999999999
29,pv,1,79.99999999992743
29,pv,2,79.99999999999991
30,pv,1,2.6119864192102366e-15
30,pv,2,79.99999999999999
31,pv,1,79.99999999988829
31,pv,2,79.99999999999986
32,pv,1,3.3019778116880027e-15
32,pv,2,79.99999999999999
33,pv,1,79.99999999983942
33,pv,2,79.99999999999979
34,pv,1,4.3575366640325986e-15
34,pv,2,79.99999999999997
35,pv,1,79.99999999978114
35,pv,2,79.99999999999969
