iteration,storage,timestep,charge,discharge
1,battery,1,9.999999999999998,2.3375937328816754e-14
1,battery,2,8.538645262101615e-15,9.999999999999968
2,battery,1,9.999999999981409,1.6709592324590593e-11
2,battery,2,1.1339246510988026,6.866075351512103
3,battery,1,9.999999999957936,3.584754495633702e-11
3,battery,2,4.402847322186839e-11,9.999999999965526
4,battery,1,9.999999999999973,3.017674625223763e-14
4,battery,2,3.0578281091051747e-13,9.99999999999966
5,battery,1,5.713929233637343,2.2860707914115257
5,battery,2,2.2860707814579935,5.713929223676128
6,battery,1,9.999999999999993,5.889691055885784e-15
6,battery,2,1.3122576894138598e-12,9.999999999998256
7,battery,1,4.000000004146543,4.00000000412706
7,battery,2,4.000000000052357,4.000000000067762
8,battery,1,9.999999999999968,3.018766286043119e-14
8,battery,2,2.1447564428389217e-11,9.999999999971468
9,battery,1,4.000000014812473,4.000000014766947
9,battery,2,4.000000000457222,4.000000000476955
10,battery,1,9.999999999999984,1.5936149470683804e-14
10,battery,2,1.310859962591226e-11,9.99999999998496
11,battery,1,4.000000000021972,4.00000000002192
11,battery,2,3.999999999999547,3.9999999999995604
12,battery,1,10.0,5.417447147474658e-16
12,battery,2,5.517266894518759e-13,9.999999999999464
13,battery,1,4.000000001291447,4.00000000129038
13,battery,2,4.00000000004216,4.0000000000422125
14,battery,1,10.0,8.68584398113464e-16
14,battery,2,8.769518848348997e-13,9.999999999999085
15,battery,1,4.0000000013643575,4.000000001363275
15,battery,2,4.000000000036599,4.000000000036628
16,battery,1,9.999999999999998,1.1488211542301114e-15
16,battery,2,9.71262411982024e-13,9.999999999999007
17,battery,1,4.000000001491475,4.0000000014902675
17,battery,2,4.000000000043865,4.00000000004391
18,battery,1,9.999999999999998,1.5456381125234413e-15
18,battery,2,1.0961303360459012e-12,9.999999999998893
19,battery,1,4.0000000015947625,4.000000001593423
19,battery,2,4.000000000056771,4.000000000056832
20,battery,1,9.999999999999998,2.086412522003886e-15
20,battery,2,1.2629291432949096e-12,9.999999999998733
21,battery,1,4.0000000017228645,4.000000001721422
21,battery,2,4.000000000051777,4.000000000051849
22,battery,1,9.999999999999996,2.764243128382359e-15
22,battery,2,1.4471501083531655e-12,9.999999999998558
23,battery,1,4.000000001853552,4.000000001852007
23,battery,2,4.000000000042367,4.000000000042445
24,battery,1,9.999999999999996,3.6632043093773734e-15
24,battery,2,1.6657431810792815e-12,9.999999999998346
25,battery,1,4.000000001999103,4.000000001997451
25,battery,2,4.000000000030783,4.000000000030863
26,battery,1,9.999999999999995,4.752671584437444e-15
26,battery,2,1.886521961906654e-12,9.999999999998135
27,battery,1,4.000000001822521,4.00000000182106
27,battery,2,4.000000000020961,4.000000000021023
28,battery,1,9.999999999999993,6.196923457382834e-15
28,battery,2,2.133623293577464e-12,9.999999999997895
29,battery,1,4.000000001633251,4.000000001631962
29,battery,2,4.000000000014252,4.000000000014301
