iteration,dual,timestep,line,value
1,lambda,1,,0.0
1,lambda,2,,0.0
2,lambda,1,,-25.295497527087154
2,lambda,2,,-29.479116773637394
3,lambda,1,,-30.573610212156186
3,lambda,2,,-54.01789845766864
4,lambda,1,,-27.30551840747732
4,lambda,2,,-64.05291837559915
5,lambda,1,,-23.205882060855036
5,lambda,2,,-63.91379868733404
6,lambda,1,,-19.79273538544112
6,lambda,2,,-55.98052230697479
7,lambda,1,,-17.888266734412813
7,lambda,2,,-43.88249686673437
8,lambda,1,,-17.464083385361896
8,lambda,2,,-33.92035948590961
9,lambda,1,,-16.38453101294928
9,lambda,2,,-28.808518373705834
10,lambda,1,,-13.774050691414086
10,lambda,2,,-27.9604539438151
11,lambda,1,,-11.009470942861721
11,lambda,2,,-29.349581277156478
12,lambda,1,,-9.324656126388634
12,lambda,2,,-31.010844165652344
13,lambda,1,,-9.176569449294611
13,lambda,2,,-31.79306341383863
14,lambda,1,,-9.930452369363433
14,lambda,2,,-31.43234129404897
15,lambda,1,,-10.91817957559578
15,lambda,2,,-30.242363000427318
16,lambda,1,,-11.779018830212049
16,lambda,2,,-28.724773169563427
17,lambda,1,,-12.429675961792693
17,lambda,2,,-27.28982767230048
18,lambda,1,,-12.92645150751955
18,lambda,2,,-26.14428280834191
19,lambda,1,,-13.352866123106262
19,lambda,2,,-25.311207003767123
20,lambda,1,,-13.830991319048819
20,lambda,2,,-24.711594682689118
21,lambda,1,,-14.372701908223199
21,lambda,2,,-24.246691777219503
22,lambda,1,,-14.912101373945529
22,lambda,2,,-23.84854584532637
23,lambda,1,,-15.408579557931224
23,lambda,2,,-23.494053341648645
24,lambda,1,,-15.847962521961437
24,lambda,2,,-23.19425959736121
25,lambda,1,,-16.236808285776206
25,lambda,2,,-24.433139862447693
26,lambda,1,,-16.59332547633445
26,lambda,2,,-26.584880159628582
27,lambda,1,,-16.964933142172043
27,lambda,2,,-29.028169582150767
28,lambda,1,,-17.39258146271952
28,lambda,2,,-31.13189154205489
29,lambda,1,,-17.8621293697044
29,lambda,2,,-32.48893346304473
30,lambda,1,,-18.34998577116902
30,lambda,2,,-32.95844260310242
31,lambda,1,,-18.84101531620877
31,lambda,2,,-32.63688595627668
32,lambda,1,,-19.33034867918692
32,lambda,2,,-31.78102254573244
33,lambda,1,,-19.819196426863016
33,lambda,2,,-30.71166087322401
34,lambda,1,,-20.310529389452864
34,lambda,2,,-29.72484553901116
35,lambda,1,,-20.80666059715499
35,lambda,2,,-29.02925400369166
36,lambda,1,,-21.308588565256922
36,lambda,2,,-28.71820189874881
37,lambda,1,,-21.816270859207982
37,lambda,2,,-28.774730610620864
38,lambda,1,,-22.329120752694525
38,lambda,2,,-29.10096870961022
39,lambda,1,,-22.846375461898543
39,lambda,2,,-29.559389852769097
40,lambda,1,,-23.36726614172061
40,lambda,2,,-30.01370076610009
41,lambda,1,,-23.891051505044793
41,lambda,2,,-30.360008984176602
42,lambda,1,,-24.41699711989553
42,lambda,2,,-30.543320924817646
43,lambda,1,,-24.94435375088405
43,lambda,2,,-30.558948358057954
44,lambda,1,,-25.472354367690947
44,lambda,2,,-30.44198137794692
45,lambda,1,,-26.000228314638036
45,lambda,2,,-30.250011075205883
46,lambda,1,,-26.52722434028402
46,lambda,2,,-30.044646748056458
47,lambda,1,,-27.0526347152182
47,lambda,2,,-29.947431838124828
48,lambda,1,,-27.57581648336264
48,lambda,2,,-30.014702172106333
49,lambda,1,,-28.096208384595247
49,lambda,2,,-30.203923704339196
50,lambda,1,,-28.61334373315152
50,lambda,2,,-30.44188562499363
51,lambda,1,,-29.12685975262759
51,lambda,2,,-30.668543051309495
52,lambda,1,,-29.636503746821152
52,lambda,2,,-30.854142257605222
53,lambda,1,,-30.108409845779796
53,lambda,2,,-30.99652840359961
54,lambda,1,,-30.467657268528136
54,lambda,2,,-31.109144709220335
55,lambda,1,,-30.73939218205872
55,lambda,2,,-31.20865100243401
56,lambda,1,,-30.9420487197218
56,lambda,2,,-31.30703234263001
57,lambda,1,,-31.077818433099946
57,lambda,2,,-31.40910569554527
58,lambda,1,,-31.14367539005041
58,lambda,2,,-31.51387582252146
59,lambda,1,,-31.149445524234324
59,lambda,2,,-31.6174568292553
60,lambda,1,,-26.467706243795543
60,lambda,2,,-31.715740307749574
61,lambda,1,,-23.93946309574176
61,lambda,2,,-31.80592529466308
62,lambda,1,,-22.153299674402415
62,lambda,2,,-31.886861022496877
63,lambda,1,,-21.440224175671514
63,lambda,2,,-31.958622006465355
64,lambda,1,,-21.76719672598178
64,lambda,2,,-32.02182970482325
65,lambda,1,,-19.1106776848116
65,lambda,2,,-32.07709283115984
66,lambda,1,,-16.11067768737627
66,lambda,2,,-32.12472204895379
67,lambda,1,,-14.2300104129068
67,lambda,2,,-32.164699781419024
68,lambda,1,,-13.903990798700493
68,lambda,2,,-32.19679887414034
69,lambda,1,,-14.571953021677551
69,lambda,2,,-32.220736924548675
70,lambda,1,,-15.871107897636268
70,lambda,2,,-32.23629189093592
71,lambda,1,,-14.768090425772215
71,lambda,2,,-32.24335342071774
72,lambda,1,,-12.462595373779035
72,lambda,2,,-32.24192034412496
73,lambda,1,,-10.271842047502664
73,lambda,2,,-32.23396087851141
74,lambda,1,,-9.585524702410646
74,lambda,2,,-29.44340509866067
75,lambda,1,,-10.066388504140983
75,lambda,2,,-28.03717348288985
76,lambda,1,,-11.022395011646438
76,lambda,2,,-31.025354643638895
77,lambda,1,,-11.976008994662738
77,lambda,2,,-34.35550620051082
78,lambda,1,,-12.748362023461574
78,lambda,2,,-35.9853881592851
79,lambda,1,,-13.350207382412474
79,lambda,2,,-35.5798397793717
80,lambda,1,,-13.857071357800024
80,lambda,2,,-33.783246927697206
81,lambda,1,,-14.335192637242534
81,lambda,2,,-31.49032613618096
82,lambda,1,,-14.818666296349585
82,lambda,2,,-29.377454095000868
83,lambda,1,,-15.315170345870547
83,lambda,2,,-27.745571979484108
84,lambda,1,,-15.81954372398996
84,lambda,2,,-26.585389687219546
85,lambda,1,,-16.32429772262734
85,lambda,2,,-25.733098477448717
86,lambda,1,,-16.824456542264553
86,lambda,2,,-25.01254320160533
87,lambda,1,,-17.318253615795744
87,lambda,2,,-24.314558026067537
88,lambda,1,,-17.806032806992174
88,lambda,2,,-23.612097535596078
89,lambda,1,,-18.288977480503778
89,lambda,2,,-22.998486671757995
90,lambda,1,,-18.768323748955513
90,lambda,2,,-22.721316540361226
91,lambda,1,,-19.245081817029
91,lambda,2,,-22.645076013189815
92,lambda,1,,-19.7200522470113
92,lambda,2,,-22.863105631354017
93,lambda,1,,-20.193931966280783
93,lambda,2,,-25.015667558710685
94,lambda,1,,-20.667397365028133
94,lambda,2,,-27.284158950187383
95,lambda,1,,-21.14113425787203
95,lambda,2,,-28.76141438970943
96,lambda,1,,-21.61582754946378
96,lambda,2,,-30.091309747276803
97,lambda,1,,-22.09213347238389
97,lambda,2,,-31.093234696032763
98,lambda,1,,-22.570651095451684
98,lambda,2,,-31.61166126522158
99,lambda,1,,-23.05190046488103
99,lambda,2,,-31.63852910339618
100,lambda,1,,-23.536308307918276
100,lambda,2,,-31.281074570437802
101,lambda,1,,-24.024199550705717
101,lambda,2,,-30.71047695190667
102,lambda,1,,-24.51579284578186
