iteration,generator,timestep,generation
1,pv,1,38.7958115169498
1,pv,2,79.99999999999969
2,pv,1,65.82436087805193
2,pv,2,79.99999999999999
3,pv,1,79.99999999655373
3,pv,2,79.99999999999815
4,pv,1,79.99999999999706
4,pv,2,79.99999999999946
5,pv,1,79.99999999999783
5,pv,2,79.99999999999959
6,pv,1,79.99999999999473
6,pv,2,79.99999999999872
7,pv,1,79.99999999999788
7,pv,2,79.99999999999932
8,pv,1,79.99999999999888
8,pv,2,79.99999999999953
9,pv,1,79.99999999999991
9,pv,2,79.99999999999997
10,pv,1,79.99999999996066
10,pv,2,79.99999999999686
11,pv,1,78.97523394067075
11,pv,2,79.99999999999775
12,pv,1,77.15968487068005
12,pv,2,79.99999999999997
13,pv,1,76.37085967568959
13,pv,2,79.99999999999963
14,pv,1,76.65618444433066
14,pv,2,79.99999999999844
15,pv,1,77.49871553310733
15,pv,2,79.9999999999973
16,pv,1,78.4320429229679
16,pv,2,79.99999999999783
17,pv,1,79.21721972401238
17,pv,2,79.99999999999909
18,pv,1,79.80015828578739
18,pv,2,79.99999999999889
19,pv,1,79.99999999858429
19,pv,2,79.99999999999423
20,pv,1,79.99999999999675
20,pv,2,79.99999999999996
21,pv,1,79.99999999999385
21,pv,2,79.9999999999999
22,pv,1,79.9999999999941
22,pv,2,79.99999999999991
23,pv,1,79.9999999999958
23,pv,2,79.99999999999994
24,pv,1,79.99999999999724
24,pv,2,79.99999999999997
25,pv,1,79.99999999976798
25,pv,2,79.99999999999999
26,pv,1,79.91141584673491
26,pv,2,79.99999999999999
27,pv,1,79.69322443175642
27,pv,2,80.0
28,pv,1,79.44406040878502
28,pv,2,79.99999999999999
29,pv,1,79.18687592469689
29,pv,2,79.99999999999999
30,pv,1,78.91575408325363
30,pv,2,80.0
31,pv,1,78.62252122449239
31,pv,2,79.99999999999703
32,pv,1,78.30638859479812
32,pv,2,79.99999999999885
33,pv,1,77.9738830459669
33,pv,2,79.99999999999915
34,pv,1,77.63545372273919
34,pv,2,79.99999999999918
35,pv,1,77.30234098654752
35,pv,2,79.99999999999919
36,pv,1,76.98483287310324
36,pv,2,79.99999999999919
37,pv,1,76.69169901055955
