iteration,storage,timestep,charge,discharge
1,battery,1,9.999999999999963,3.442520585488206e-14
1,battery,2,4.1882732612298595e-14,9.99999999999995
2,battery,1,9.007625647181541,2.929944102451278e-10
2,battery,2,2.7004578361521286e-10,9.007625647158685
3,battery,1,9.999999999999282,6.380303481656164e-13
3,battery,2,7.778006534102247e-13,9.999999999999098
4,battery,1,9.999999999994621,5.0594437336269e-12
4,battery,2,6.6765133501275814e-12,9.999999999992763
5,battery,1,9.999999999996247,3.4990105761298213e-12
5,battery,2,4.581329225324603e-12,9.999999999994964
6,battery,1,9.99999999998975,9.27267869940723e-12
6,battery,2,1.172095276139351e-11,9.999999999986526
7,battery,1,9.999999999996016,3.4000214535406888e-12
7,battery,2,4.114184772412659e-12,9.999999999994998
8,battery,1,9.99999999999605,3.2001886099357687e-12
8,battery,2,3.6645114761782454e-12,9.999999999995174
9,battery,1,9.999999999999618,3.259029517688116e-13
9,battery,2,3.9773823502485596e-13,9.999999999999517
10,battery,1,9.999999999993179,6.097838993984701e-12
10,battery,2,7.96518656250683e-12,9.999999999990543
11,battery,1,9.999999999995344,4.3082702253586425e-12
11,battery,2,6.125824629467103e-12,9.999999999993094
12,battery,1,9.999999999999988,1.1839548411812235e-14
12,battery,2,1.730477495514107e-14,9.99999999999998
13,battery,1,9.999999999999408,5.536998691832513e-13
13,battery,2,7.993327855791553e-13,9.999999999999119
14,battery,1,9.99999999999998,1.8485506100297158e-14
14,battery,2,2.6251511066516475e-14,9.999999999999972
15,battery,1,9.999999999999849,1.405579809040295e-13
15,battery,2,1.9779052377230242e-13,9.999999999999782
16,battery,1,9.99999999999991,8.494536000776227e-14
16,battery,2,1.194232617450246e-13,9.999999999999869
17,battery,1,9.999999999999966,3.200317690757793e-14
17,battery,2,4.5183396654565714e-14,9.99999999999995
18,battery,1,9.999999999999979,2.0656793620451724e-14
18,battery,2,2.928981140733365e-14,9.999999999999968
19,battery,1,9.99999999999997,2.871521496217253e-14
19,battery,2,4.087495316407897e-14,9.999999999999956
20,battery,1,9.999999999999906,8.818783954032278e-14
20,battery,2,1.2548559831367154e-13,9.999999999999861
21,battery,1,9.999999999999801,1.8681502339032002e-13
21,battery,2,2.6646819139583483e-13,9.999999999999709
22,battery,1,9.99999999999981,1.7770560209430493e-13
22,battery,2,2.531741614003173e-13,9.999999999999723
23,battery,1,9.99999999999989,1.0283853272844656e-13
23,battery,2,1.4758329475847145e-13,9.999999999999838
24,battery,1,9.999999999999947,5.0223709642928145e-14
24,battery,2,6.879481008366296e-14,9.999999999999925
25,battery,1,9.999999999999977,2.1825442015528386e-14
25,battery,2,3.138177045386627e-14,9.999999999999966
26,battery,1,9.999999999999988,1.257520149301293e-14
26,battery,2,1.8174116691838792e-14,9.99999999999998
27,battery,1,9.999999999999988,1.2453853950473861e-14
27,battery,2,1.8062564272224255e-14,9.99999999999998
28,battery,1,9.999999999999982,1.7046094501873835e-14
28,battery,2,2.4762894093710752e-14,9.999999999999973
29,battery,1,9.999999999999982,1.7370914531916746e-14
29,battery,2,2.525150154187211e-14,9.999999999999973
30,battery,1,9.999999999999988,1.2141429470288807e-14
30,battery,2,1.7652201894423426e-14,9.99999999999998
31,battery,1,9.999999999999993,6.3984472356718154e-15
31,battery,2,9.301053659641477e-15,9.99999999999999
32,battery,1,9.999999999996948,2.910197647679082e-12
32,battery,2,4.2280896552134046e-12,9.999999999995465
33,battery,1,9.999999999998312,1.6088973578662354e-12
33,battery,2,2.337802516576179e-12,9.999999999997492
34,battery,1,9.99999999999839,1.5341743009490243e-12
34,battery,2,2.2288257589480754e-12,9.999999999997607
35,battery,1,9.999999999998417,1.508769628446215e-12
35,battery,2,2.19199561078837e-12,9.999999999997648
36,battery,1,9.999999999998396,1.5305191933116851e-12
36,battery,2,2.2246503413061484e-12,9.999999999997614
37,battery,1,9.999999999998327,1.5965543469402163e-12
37,battery,2,2.3206982592516135e-12,9.999999999997515
38,battery,1,9.99999999999814,1.7759935225019978e-12
38,battery,2,2.5779675904700865e-12,9.999999999997241
39,battery,1,9.999999999996463,3.3803371166712142e-12
39,battery,2,4.9122585901052565e-12,9.99999999999475
40,battery,1,9.999999999999993,6.001679019344037e-15
40,battery,2,8.724838701330754e-15,9.999999999999991
41,battery,1,9.99999999999999,9.537218863611104e-15
41,battery,2,1.3867616304587799e-14,9.999999999999986
42,battery,1,9.999999999999986,1.3401205028082592e-14
42,battery,2,1.948505785593655e-14,9.999999999999979
43,battery,1,9.999999999999982,1.663375462797278e-14
43,battery,2,2.418042314803535e-14,9.999999999999973
44,battery,1,9.99999999999998,1.8302804532429168e-14
44,battery,2,2.6599066480334716e-14,9.999999999999972
45,battery,1,9.99999999999998,1.7928354575997038e-14
45,battery,2,2.6046416358069558e-14,9.999999999999972
46,battery,1,9.999999999999984,1.570442119777844e-14
46,battery,2,2.28080726800525e-14,9.999999999999975
47,battery,1,9.999999999999984,1.5028321579884867e-14
47,battery,2,2.1821037298447624e-14,9.999999999999977
48,battery,1,9.99999999999999,1.0848660870913156e-14
48,battery,2,1.5749633839618758e-14,9.999999999999984
49,battery,1,9.999999999999993,7.2249238712588e-15
49,battery,2,1.0487288608645717e-14,9.99999999999999
50,battery,1,9.999999999999995,4.541230811251774e-15
